51,76,81,56;51,76,77,52;76,81,82,77;81,56,57,82;56,51,52,57;52,77,82,57
52,77,82,57;52,77,78,53;77,82,83,78;82,57,58,83;57,52,53,58;53,78,83,58
53,78,83,58;53,78,79,54;78,83,84,79;83,58,59,84;58,53,54,59;54,79,84,59
54,79,84,59;54,79,80,55;79,84,85,80;84,59,60,85;59,54,55,60;55,80,85,60
56,81,86,61;56,81,82,57;81,86,87,82;86,61,62,87;61,56,57,62;57,82,87,62
57,82,87,62;57,82,83,58;82,87,88,83;87,62,63,88;62,57,58,63;58,83,88,63
58,83,88,63;58,83,84,59;83,88,89,84;88,63,64,89;63,58,59,64;59,84,89,64
59,84,89,64;59,84,85,60;84,89,90,85;89,64,65,90;64,59,60,65;60,85,90,65
61,86,91,66;61,86,87,62;86,91,92,87;91,66,67,92;66,61,62,67;62,87,92,67
62,87,92,67;62,87,88,63;87,92,93,88;92,67,68,93;67,62,63,68;63,88,93,68
63,88,93,68;63,88,89,64;88,93,94,89;93,68,69,94;68,63,64,69;64,89,94,69
64,89,94,69;64,89,90,65;89,94,95,90;94,69,70,95;69,64,65,70;65,90,95,70
66,91,96,71;66,91,92,67;91,96,97,92;96,71,72,97;71,66,67,72;67,92,97,72
67,92,97,72;67,92,93,68;92,97,98,93;97,72,73,98;72,67,68,73;68,93,98,73
68,93,98,73;68,93,94,69;93,98,99,94;98,73,74,99;73,68,69,74;69,94,99,74
69,94,99,74;69,94,95,70;94,99,100,95;99,74,75,100;74,69,70,75;70,95,100,75
76,101,106,81;76,101,102,77;101,106,107,102;106,81,82,107;81,76,77,82;77,102,107,82
77,102,107,82;77,102,103,78;102,107,108,103;107,82,83,108;82,77,78,83;78,103,108,83
78,103,108,83;78,103,104,79;103,108,109,104;108,83,84,109;83,78,79,84;79,104,109,84
79,104,109,84;79,104,105,80;104,109,110,105;109,84,85,110;84,79,80,85;80,105,110,85
81,106,111,86;81,106,107,82;106,111,112,107;111,86,87,112;86,81,82,87;82,107,112,87
82,107,112,87;82,107,108,83;107,112,113,108;112,87,88,113;87,82,83,88;83,108,113,88
83,108,113,88;83,108,109,84;108,113,114,109;113,88,89,114;88,83,84,89;84,109,114,89
84,109,114,89;84,109,110,85;109,114,115,110;114,89,90,115;89,84,85,90;85,110,115,90
86,111,116,91;86,111,112,87;111,116,117,112;116,91,92,117;91,86,87,92;87,112,117,92
87,112,117,92;87,112,113,88;112,117,118,113;117,92,93,118;92,87,88,93;88,113,118,93
88,113,118,93;88,113,114,89;113,118,119,114;118,93,94,119;93,88,89,94;89,114,119,94
89,114,119,94;89,114,115,90;114,119,120,115;119,94,95,120;94,89,90,95;90,115,120,95
91,116,121,96;91,116,117,92;116,121,122,117;121,96,97,122;96,91,92,97;92,117,122,97
92,117,122,97;92,117,118,93;117,122,123,118;122,97,98,123;97,92,93,98;93,118,123,98
93,118,123,98;93,118,119,94;118,123,124,119;123,98,99,124;98,93,94,99;94,119,124,99
94,119,124,99;94,119,120,95;119,124,125,120;124,99,100,125;99,94,95,100;95,120,125,100
